,photos,restaurant_name,colours
0,"['corrados-toronto1.jpg', 'corrados-toronto2.jpg', 'corrados-toronto3.jpg']",corrados-toronto,"[[[240, 246, 250], [90, 78, 69], [170, 152, 132], [205, 188, 169], [43, 33, 28], [227, 213, 195], [137, 117, 98]], [[155, 138, 131], [39, 35, 39], [183, 169, 166], [85, 69, 65], [227, 224, 225], [205, 199, 199], [126, 107, 98]], [[20, 15, 15], [204, 207, 194], [87, 67, 51], [244, 246, 242], [113, 105, 91], [57, 36, 24], [155, 157, 141]], [[177, 159, 148], [35, 29, 33], [228, 227, 232], [77, 66, 67], [146, 127, 118], [208, 195, 188], [118, 100, 95]], [[205, 202, 210], [46, 35, 31], [134, 110, 90], [202, 180, 158], [100, 68, 52], [183, 144, 109], [233, 215, 192]], [[211, 202, 193], [90, 66, 55], [158, 140, 125], [38, 30, 30], [242, 238, 231], [133, 113, 96], [185, 173, 157]], [[229, 214, 201], [70, 59, 50], [139, 126, 120], [19, 18, 19], [104, 93, 87], [184, 169, 161], [50, 43, 35]], [[127, 129, 124], [30, 26, 26], [187, 197, 216], [66, 57, 55], [155, 158, 166], [246, 246, 246], [102, 99, 94]]]"
1,"['seven-lives-tacos-y-mariscos-toronto1.jpg', 'seven-lives-tacos-y-mariscos-toronto2.jpg', 'seven-lives-tacos-y-mariscos-toronto3.jpg', 'seven-lives-tacos-y-mariscos-toronto4.jpg', 'seven-lives-tacos-y-mariscos-toronto5.jpg', 'seven-lives-tacos-y-mariscos-toronto6.jpg', 'seven-lives-tacos-y-mariscos-toronto7.jpg', 'seven-lives-tacos-y-mariscos-toronto8.jpg', 'seven-lives-tacos-y-mariscos-toronto9.jpg', 'seven-lives-tacos-y-mariscos-toronto10.jpg', 'seven-lives-tacos-y-mariscos-toronto11.jpg', 'seven-lives-tacos-y-mariscos-toronto12.jpg', 'seven-lives-tacos-y-mariscos-toronto13.jpg', 'seven-lives-tacos-y-mariscos-toronto14.jpg', 'seven-lives-tacos-y-mariscos-toronto15.jpg', 'seven-lives-tacos-y-mariscos-toronto16.jpg', 'seven-lives-tacos-y-mariscos-toronto17.jpg', 'seven-lives-tacos-y-mariscos-toronto18.jpg', 'seven-lives-tacos-y-mariscos-toronto19.jpg', 'seven-lives-tacos-y-mariscos-toronto20.jpg', 'seven-lives-tacos-y-mariscos-toronto21.jpg', 'seven-lives-tacos-y-mariscos-toronto22.jpg', 'seven-lives-tacos-y-mariscos-toronto23.jpg', 'seven-lives-tacos-y-mariscos-toronto24.jpg', 'seven-lives-tacos-y-mariscos-toronto25.jpg', 'seven-lives-tacos-y-mariscos-toronto26.jpg', 'seven-lives-tacos-y-mariscos-toronto27.jpg', 'seven-lives-tacos-y-mariscos-toronto28.jpg', 'seven-lives-tacos-y-mariscos-toronto29.jpg', 'seven-lives-tacos-y-mariscos-toronto30.jpg']",seven-lives-tacos-y-mariscos-toronto,"[[[207, 185, 138], [51, 31, 25], [130, 88, 56], [14, 10, 11], [252, 252, 239], [86, 57, 41], [162, 130, 89]], [[63, 55, 58], [244, 244, 241], [4, 2, 9], [151, 147, 146], [101, 91, 91], [38, 32, 39], [19, 15, 26]], [[83, 64, 44], [195, 170, 138], [15, 13, 11], [63, 48, 32], [122, 107, 86], [39, 33, 25], [248, 235, 208]], [[25, 26, 23], [229, 239, 235], [149, 138, 122], [77, 69, 62], [185, 182, 179], [106, 96, 85], [49, 48, 49]], [[16, 11, 7], [130, 102, 62], [245, 232, 210], [56, 38, 21], [203, 172, 135], [155, 126, 85], [94, 67, 37]], [[170, 145, 115], [53, 37, 25], [15, 11, 11], [221, 203, 168], [112, 80, 59], [77, 57, 40], [135, 110, 87]], [[251, 242, 229], [12, 7, 5], [101, 70, 45], [67, 46, 27], [195, 160, 129], [136, 102, 77], [36, 23, 12]], [[244, 248, 241], [61, 46, 38], [184, 154, 126], [135, 93, 68], [90, 71, 60], [35, 24, 19], [197, 202, 195]], [[89, 78, 79], [194, 183, 171], [33, 21, 21], [69, 43, 35], [118, 113, 117], [234, 230, 226], [182, 144, 117]], [[75, 55, 53], [23, 15, 7], [242, 239, 196], [86, 91, 171], [155, 109, 68], [58, 37, 23], [113, 72, 33]], [[115, 134, 134], [28, 17, 13], [137, 96, 63], [94, 64, 45], [250, 245, 221], [57, 34, 26], [175, 140, 99]], [[149, 116, 74], [31, 21, 17], [108, 79, 49], [77, 53, 34], [13, 10, 9], [189, 168, 142], [50, 33, 24]], [[106, 91, 86], [248, 240, 234], [182, 176, 174], [72, 65, 67], [138, 129, 130], [118, 105, 99], [89, 78, 75]], [[26, 27, 20], [128, 122, 95], [9, 12, 8], [88, 85, 67], [202, 195, 162], [46, 44, 35], [69, 59, 50]]]"
2,"['kaiju-toronto1.jpg', 'kaiju-toronto2.jpg', 'kaiju-toronto3.jpg', 'kaiju-toronto4.jpg', 'kaiju-toronto5.jpg', 'kaiju-toronto6.jpg', 'kaiju-toronto7.jpg', 'kaiju-toronto8.jpg', 'kaiju-toronto9.jpg', 'kaiju-toronto10.jpg', 'kaiju-toronto11.jpg', 'kaiju-toronto12.jpg', 'kaiju-toronto13.jpg', 'kaiju-toronto14.jpg', 'kaiju-toronto15.jpg', 'kaiju-toronto16.jpg']",kaiju-toronto,"[[[169, 88, 66], [77, 32, 21], [245, 242, 232], [124, 57, 41], [209, 139, 110], [40, 15, 7], [227, 191, 162]], [[61, 54, 49], [154, 156, 153], [248, 246, 243], [27, 24, 22], [98, 92, 85], [157, 113, 88], [212, 156, 115]], [[12, 11, 13], [109, 83, 75], [189, 147, 121], [73, 52, 45], [237, 222, 210], [34, 32, 27], [131, 125, 133]], [[183, 119, 95], [21, 23, 19], [228, 240, 241], [219, 168, 140], [134, 67, 40], [71, 90, 82], [155, 179, 173]], [[128, 83, 64], [189, 168, 150], [59, 38, 31], [90, 60, 49], [237, 239, 234], [166, 118, 92], [22, 16, 17]], [[118, 104, 92], [104, 75, 54], [195, 199, 202], [223, 148, 82], [148, 153, 157], [15, 10, 9], [154, 102, 66]], [[94, 76, 67], [199, 166, 139], [19, 15, 15], [112, 110, 113], [238, 233, 221], [151, 111, 85], [60, 43, 36]], [[201, 117, 65], [29, 21, 23], [179, 176, 176], [80, 56, 57], [131, 116, 111], [131, 70, 45], [233, 234, 237]], [[147, 148, 145], [47, 41, 37], [115, 108, 102], [213, 206, 197], [90, 75, 65], [16, 16, 14], [182, 131, 98]], [[130, 112, 94], [52, 38, 30], [188, 192, 194], [19, 17, 16], [254, 254, 252], [93, 78, 67], [151, 145, 139]], [[149, 131, 118], [86, 72, 63], [252, 250, 245], [59, 44, 36], [212, 189, 166], [122, 105, 93], [175, 154, 134]], [[14, 11, 9], [252, 251, 249], [111, 85, 66], [152, 132, 116], [40, 25, 18], [203, 186, 166], [84, 54, 37]]]"
3,"['the-harbord-room-toronto1.jpg', 'the-harbord-room-toronto2.jpg', 'the-harbord-room-toronto3.jpg', 'the-harbord-room-toronto4.jpg', 'the-harbord-room-toronto5.jpg', 'the-harbord-room-toronto6.jpg', 'the-harbord-room-toronto7.jpg', 'the-harbord-room-toronto8.jpg', 'the-harbord-room-toronto9.jpg', 'the-harbord-room-toronto10.jpg', 'the-harbord-room-toronto11.jpg', 'the-harbord-room-toronto12.jpg']",the-harbord-room-toronto,"[[[214, 171, 150], [36, 22, 40], [134, 114, 118], [227, 220, 225], [230, 89, 104], [94, 60, 68], [158, 154, 170]], [[116, 97, 79], [31, 25, 25], [238, 242, 232], [145, 124, 98], [185, 174, 154], [167, 147, 122], [64, 55, 49]], [[168, 153, 150], [86, 36, 26], [95, 84, 76], [20, 15, 11], [238, 214, 235], [156, 58, 58], [170, 127, 109]]]"
4,"['black-camel-toronto-21.jpg', 'black-camel-toronto-22.jpg', 'black-camel-toronto-23.jpg', 'black-camel-toronto-24.jpg', 'black-camel-toronto-25.jpg', 'black-camel-toronto-26.jpg', 'black-camel-toronto-27.jpg', 'black-camel-toronto-28.jpg']",black-camel-toronto-2,"[[[221, 204, 189], [121, 92, 71], [186, 164, 143], [40, 29, 21], [155, 130, 107], [252, 252, 251], [83, 63, 50]], [[31, 30, 30], [252, 251, 249], [135, 109, 80], [75, 62, 51], [172, 141, 113], [76, 110, 143], [205, 194, 186]], [[29, 20, 14], [159, 141, 128], [102, 80, 57], [248, 245, 242], [196, 175, 155], [137, 115, 95], [67, 45, 36]], [[24, 20, 23], [190, 184, 167], [134, 129, 112], [240, 245, 244], [102, 82, 59], [48, 48, 42], [70, 21, 18]], [[216, 207, 200], [79, 62, 54], [147, 129, 111], [251, 250, 249], [110, 86, 71], [26, 22, 21], [186, 173, 153]], [[97, 90, 80], [240, 246, 245], [36, 19, 11], [140, 133, 120], [194, 192, 182], [7, 5, 3], [81, 56, 36]], [[23, 11, 5], [149, 134, 122], [95, 55, 26], [193, 227, 241], [135, 88, 55], [225, 186, 153], [65, 34, 13]], [[49, 39, 22], [189, 163, 130], [128, 109, 89], [241, 239, 239], [19, 5, 5], [97, 70, 42], [195, 84, 14]], [[185, 178, 158], [64, 35, 25], [166, 148, 110], [19, 11, 15], [240, 240, 244], [111, 82, 40], [135, 118, 75]], [[26, 11, 6], [121, 93, 63], [165, 227, 241], [59, 41, 22], [237, 230, 225], [84, 67, 45], [172, 152, 128]], [[22, 19, 17], [104, 105, 128], [238, 237, 243], [62, 51, 47], [160, 149, 151], [132, 102, 82], [87, 75, 72]], [[77, 21, 21], [137, 124, 105], [237, 234, 231], [177, 159, 137], [33, 30, 33], [97, 79, 55], [114, 103, 87]], [[94, 72, 67], [182, 177, 187], [29, 9, 8], [133, 115, 106], [26, 30, 40], [223, 241, 246], [71, 47, 30]], [[65, 57, 63], [179, 152, 128], [252, 252, 250], [118, 134, 168], [105, 93, 97], [218, 202, 178], [151, 122, 103]], [[30, 27, 16], [144, 136, 116], [195, 181, 171], [101, 93, 78], [166, 156, 141], [248, 245, 242], [56, 48, 36]], [[179, 186, 193], [64, 47, 46], [124, 121, 105], [25, 25, 25], [155, 153, 147], [87, 80, 83], [236, 239, 240]]]"
5,"['richmond-station-toronto1.jpg', 'richmond-station-toronto2.jpg', 'richmond-station-toronto3.jpg', 'richmond-station-toronto4.jpg', 'richmond-station-toronto5.jpg', 'richmond-station-toronto6.jpg', 'richmond-station-toronto7.jpg', 'richmond-station-toronto8.jpg', 'richmond-station-toronto9.jpg', 'richmond-station-toronto10.jpg', 'richmond-station-toronto11.jpg', 'richmond-station-toronto12.jpg', 'richmond-station-toronto13.jpg', 'richmond-station-toronto14.jpg', 'richmond-station-toronto15.jpg', 'richmond-station-toronto16.jpg', 'richmond-station-toronto17.jpg', 'richmond-station-toronto18.jpg', 'richmond-station-toronto19.jpg', 'richmond-station-toronto20.jpg', 'richmond-station-toronto21.jpg', 'richmond-station-toronto22.jpg', 'richmond-station-toronto23.jpg', 'richmond-station-toronto24.jpg', 'richmond-station-toronto25.jpg', 'richmond-station-toronto26.jpg', 'richmond-station-toronto27.jpg', 'richmond-station-toronto28.jpg', 'richmond-station-toronto29.jpg']",richmond-station-toronto,"[[[45, 47, 42], [205, 173, 139], [34, 121, 149], [141, 124, 102], [22, 19, 16], [99, 79, 65], [237, 232, 213]], [[47, 39, 34], [185, 174, 158], [107, 97, 84], [238, 232, 223], [16, 12, 19], [78, 67, 54], [145, 130, 116]], [[76, 50, 33], [201, 167, 130], [14, 10, 6], [111, 71, 49], [145, 118, 96], [247, 239, 221], [41, 26, 17]], [[141, 119, 100], [44, 33, 26], [198, 166, 135], [89, 82, 78], [237, 238, 232], [70, 53, 42], [22, 13, 10]], [[143, 118, 104], [67, 47, 42], [238, 235, 230], [179, 156, 140], [109, 83, 75], [212, 196, 181], [73, 147, 161]], [[23, 20, 21], [201, 177, 158], [148, 115, 98], [251, 249, 236], [45, 35, 30], [103, 90, 82], [74, 58, 51]], [[67, 46, 39], [215, 194, 176], [31, 21, 20], [129, 98, 85], [253, 249, 246], [165, 141, 122], [99, 71, 60]], [[118, 154, 167], [91, 96, 93], [224, 226, 218], [173, 146, 109], [89, 63, 42], [43, 47, 46], [19, 117, 141]], [[12, 4, 9], [195, 197, 188], [131, 83, 57], [83, 32, 18], [27, 12, 14], [238, 245, 244], [179, 141, 103]], [[76, 66, 60], [176, 153, 132], [30, 20, 21], [113, 93, 81], [53, 44, 41], [238, 218, 195], [143, 124, 106]], [[16, 12, 12], [202, 184, 168], [77, 60, 54], [119, 100, 88], [45, 34, 29], [248, 240, 228], [162, 143, 127]]]"
6,"['pearl-diver-toronto-21.jpg', 'pearl-diver-toronto-22.jpg', 'pearl-diver-toronto-23.jpg', 'pearl-diver-toronto-24.jpg', 'pearl-diver-toronto-25.jpg', 'pearl-diver-toronto-26.jpg', 'pearl-diver-toronto-27.jpg', 'pearl-diver-toronto-28.jpg', 'pearl-diver-toronto-29.jpg', 'pearl-diver-toronto-210.jpg', 'pearl-diver-toronto-211.jpg']",pearl-diver-toronto-2,"[[[19, 19, 20], [157, 155, 153], [101, 96, 93], [218, 220, 218], [62, 54, 50], [179, 180, 179], [129, 126, 122]], [[139, 129, 119], [22, 17, 19], [248, 246, 243], [79, 68, 69], [109, 101, 95], [183, 172, 169], [50, 40, 42]], [[224, 225, 217], [27, 30, 29], [152, 153, 139], [67, 69, 65], [113, 114, 104], [201, 202, 190], [174, 175, 161]]]"
7,"['black-hoof-toronto1.jpg', 'black-hoof-toronto2.jpg', 'black-hoof-toronto3.jpg', 'black-hoof-toronto4.jpg', 'black-hoof-toronto5.jpg', 'black-hoof-toronto6.jpg', 'black-hoof-toronto7.jpg', 'black-hoof-toronto8.jpg', 'black-hoof-toronto9.jpg', 'black-hoof-toronto10.jpg', 'black-hoof-toronto11.jpg', 'black-hoof-toronto12.jpg', 'black-hoof-toronto13.jpg', 'black-hoof-toronto14.jpg']",black-hoof-toronto,"[[[177, 152, 109], [67, 48, 29], [9, 5, 2], [131, 98, 57], [252, 253, 248], [43, 28, 15], [94, 67, 40]], [[105, 94, 83], [50, 42, 38], [250, 246, 239], [189, 176, 163], [17, 14, 13], [151, 138, 124], [79, 68, 59]], [[24, 16, 16], [133, 111, 102], [99, 79, 69], [245, 237, 227], [67, 47, 37], [184, 172, 165], [199, 124, 103]], [[13, 6, 2], [184, 176, 172], [98, 87, 83], [246, 244, 243], [48, 25, 10], [141, 132, 126], [87, 55, 37]], [[67, 59, 49], [191, 180, 166], [14, 13, 8], [96, 85, 73], [244, 242, 235], [133, 124, 113], [42, 36, 27]], [[125, 88, 68], [251, 232, 191], [188, 135, 94], [19, 9, 9], [127, 166, 215], [73, 105, 151], [71, 52, 46]], [[174, 151, 126], [64, 37, 27], [251, 247, 235], [106, 80, 62], [17, 10, 12], [208, 186, 160], [146, 117, 91]], [[36, 22, 16], [235, 224, 218], [87, 80, 68], [157, 148, 134], [118, 114, 99], [60, 53, 42], [201, 191, 178]], [[18, 15, 16], [119, 99, 81], [168, 152, 129], [82, 71, 65], [232, 226, 196], [76, 106, 154], [50, 42, 39]], [[240, 212, 121], [36, 25, 19], [181, 143, 41], [234, 239, 237], [83, 85, 104], [137, 150, 178], [113, 75, 28]], [[196, 189, 179], [51, 44, 38], [113, 106, 96], [81, 75, 66], [151, 144, 134], [237, 234, 227], [27, 21, 17]], [[243, 243, 241], [65, 48, 38], [201, 165, 147], [93, 114, 125], [40, 17, 8], [165, 95, 65], [101, 74, 54]], [[143, 141, 161], [57, 40, 42], [150, 110, 75], [241, 232, 206], [99, 67, 57], [23, 13, 20], [217, 185, 140]], [[109, 99, 92], [43, 31, 24], [228, 205, 171], [18, 11, 10], [67, 55, 47], [158, 146, 132], [99, 80, 63]], [[42, 31, 23], [175, 201, 206], [115, 100, 93], [76, 66, 56], [243, 244, 241], [142, 146, 145], [12, 8, 4]], [[230, 234, 227], [82, 54, 42], [193, 183, 172], [29, 17, 13], [154, 143, 131], [58, 38, 29], [109, 98, 87]], [[24, 17, 20], [174, 152, 133], [243, 223, 192], [128, 103, 88], [204, 186, 163], [58, 49, 46], [252, 251, 242]], [[27, 15, 23], [241, 230, 203], [180, 109, 91], [106, 95, 95], [254, 254, 246], [68, 54, 56], [176, 160, 151]], [[75, 60, 52], [160, 137, 118], [250, 252, 244], [131, 111, 97], [206, 176, 145], [105, 88, 77], [34, 30, 27]], [[146, 128, 107], [16, 9, 9], [247, 249, 243], [216, 200, 178], [116, 83, 61], [181, 157, 131], [60, 41, 28]], [[29, 17, 10], [233, 231, 226], [132, 130, 123], [180, 174, 163], [5, 3, 1], [56, 45, 38], [95, 89, 81]], [[114, 94, 78], [235, 238, 235], [21, 15, 13], [135, 126, 116], [73, 53, 41], [197, 137, 94], [192, 182, 173]], [[15, 12, 12], [243, 242, 237], [149, 127, 114], [43, 34, 28], [72, 56, 46], [200, 189, 178], [97, 85, 77]], [[18, 8, 9], [151, 131, 120], [205, 199, 192], [110, 95, 84], [83, 66, 55], [50, 33, 27], [251, 251, 247]], [[116, 103, 92], [26, 21, 17], [249, 248, 245], [151, 141, 133], [78, 71, 64], [201, 201, 195], [56, 43, 34]], [[15, 8, 5], [253, 252, 247], [98, 72, 55], [68, 46, 34], [229, 184, 147], [154, 117, 92], [40, 25, 16]], [[137, 122, 104], [192, 186, 173], [28, 17, 16], [65, 51, 42], [173, 154, 130], [222, 217, 206], [105, 88, 73]], [[27, 15, 23], [241, 230, 203], [180, 109, 91], [106, 95, 95], [254, 254, 246], [68, 54, 56], [176, 160, 151]], [[24, 17, 20], [174, 152, 133], [243, 223, 192], [128, 103, 88], [204, 186, 163], [58, 49, 46], [252, 251, 242]]]"
8,"['boxcar-social-toronto1.jpg', 'boxcar-social-toronto2.jpg', 'boxcar-social-toronto3.jpg', 'boxcar-social-toronto4.jpg', 'boxcar-social-toronto5.jpg', 'boxcar-social-toronto6.jpg', 'boxcar-social-toronto7.jpg', 'boxcar-social-toronto8.jpg', 'boxcar-social-toronto9.jpg', 'boxcar-social-toronto10.jpg', 'boxcar-social-toronto11.jpg', 'boxcar-social-toronto12.jpg']",boxcar-social-toronto,"[[[244, 238, 238], [118, 50, 24], [182, 141, 120], [35, 19, 15], [166, 100, 62], [87, 68, 71], [205, 181, 172]], [[133, 187, 228], [48, 32, 28], [237, 196, 158], [107, 76, 58], [248, 246, 235], [191, 136, 87], [166, 39, 19]], [[215, 209, 193], [10, 10, 15], [122, 112, 104], [251, 250, 249], [47, 45, 55], [161, 170, 170], [196, 170, 139]], [[168, 141, 128], [87, 67, 57], [32, 28, 27], [229, 230, 230], [193, 187, 189], [123, 103, 92], [184, 62, 62]], [[28, 31, 31], [212, 178, 149], [97, 104, 107], [232, 245, 241], [182, 110, 88], [134, 147, 148], [66, 61, 57]], [[141, 112, 104], [246, 239, 233], [67, 57, 60], [32, 13, 11], [197, 173, 154], [174, 77, 47], [101, 40, 25]], [[35, 23, 21], [201, 201, 197], [143, 91, 62], [152, 130, 111], [112, 55, 35], [55, 71, 78], [172, 167, 157]], [[240, 195, 46], [87, 71, 60], [223, 217, 197], [128, 123, 112], [153, 85, 58], [177, 159, 137], [38, 31, 24]], [[132, 123, 104], [125, 48, 45], [32, 40, 43], [156, 173, 191], [149, 143, 131], [194, 176, 137], [242, 235, 209]], [[236, 225, 208], [67, 40, 32], [146, 112, 91], [175, 159, 148], [28, 13, 12], [167, 29, 25], [100, 77, 68]], [[180, 168, 144], [65, 58, 49], [103, 93, 78], [30, 26, 23], [173, 113, 66], [127, 127, 124], [238, 234, 216]], [[197, 119, 68], [183, 152, 128], [43, 26, 17], [221, 205, 193], [249, 243, 235], [134, 108, 92], [100, 73, 59]], [[244, 241, 231], [70, 71, 76], [37, 28, 26], [199, 140, 97], [226, 207, 174], [130, 59, 19], [120, 108, 96]], [[52, 52, 59], [140, 125, 111], [92, 79, 71], [207, 180, 146], [32, 28, 31], [182, 104, 65], [249, 240, 215]], [[219, 193, 173], [74, 70, 79], [107, 49, 31], [29, 19, 24], [244, 191, 37], [144, 86, 58], [163, 128, 114]], [[139, 91, 69], [243, 230, 211], [39, 11, 8], [178, 160, 150], [124, 38, 24], [56, 43, 43], [200, 131, 87]], [[124, 80, 75], [245, 235, 215], [140, 14, 28], [51, 35, 42], [220, 54, 72], [182, 148, 140], [65, 5, 9]], [[66, 46, 41], [178, 164, 157], [149, 126, 114], [208, 206, 193], [120, 84, 72], [249, 248, 244], [33, 23, 24]], [[205, 212, 204], [102, 83, 68], [254, 254, 254], [165, 119, 74], [122, 30, 20], [51, 35, 29], [178, 168, 144]], [[102, 97, 93], [228, 229, 225], [40, 25, 25], [73, 64, 57], [138, 146, 147], [195, 199, 196], [12, 10, 14]], [[145, 82, 72], [221, 217, 218], [49, 49, 60], [136, 129, 128], [85, 81, 90], [185, 181, 182], [202, 145, 101]], [[33, 28, 24], [109, 104, 94], [243, 235, 203], [240, 214, 37], [74, 68, 59], [177, 153, 120], [159, 87, 51]], [[106, 111, 120], [52, 44, 44], [215, 207, 196], [96, 71, 67], [163, 103, 88], [17, 14, 16], [172, 148, 150]], [[122, 86, 61], [232, 230, 228], [32, 24, 20], [151, 127, 106], [73, 58, 47], [243, 210, 48], [175, 175, 170]], [[58, 56, 54], [123, 141, 155], [220, 212, 182], [193, 145, 93], [120, 115, 108], [31, 25, 19], [113, 79, 52]], [[195, 177, 152], [126, 87, 44], [57, 43, 28], [110, 102, 90], [142, 134, 125], [185, 141, 85], [229, 228, 216]], [[107, 151, 180], [43, 24, 31], [242, 236, 221], [145, 95, 64], [205, 145, 97], [106, 39, 28], [79, 81, 92]], [[254, 253, 253], [107, 67, 49], [187, 179, 167], [68, 32, 22], [170, 133, 109], [210, 207, 198], [127, 102, 84]], [[161, 137, 133], [85, 53, 41], [128, 96, 70], [230, 221, 224], [232, 184, 131], [28, 20, 22], [200, 136, 79]], [[174, 140, 127], [228, 226, 215], [73, 34, 27], [122, 109, 118], [75, 70, 92], [192, 181, 175], [131, 82, 60]]]"
9,"['rasta-pasta-toronto-21.jpg', 'rasta-pasta-toronto-22.jpg', 'rasta-pasta-toronto-23.jpg']",rasta-pasta-toronto-2,"[[[236, 227, 216], [69, 43, 33], [174, 137, 117], [36, 23, 17], [136, 103, 83], [106, 72, 55], [207, 183, 163]], [[191, 169, 156], [91, 84, 85], [128, 114, 108], [245, 208, 132], [250, 244, 234], [106, 96, 95], [153, 132, 124]], [[19, 11, 5], [93, 66, 38], [175, 152, 111], [246, 248, 241], [82, 34, 18], [53, 25, 15], [124, 98, 61]], [[137, 84, 61], [20, 10, 8], [245, 251, 246], [211, 153, 108], [96, 96, 144], [133, 50, 25], [80, 27, 17]], [[113, 78, 65], [39, 21, 18], [211, 185, 168], [73, 43, 36], [152, 110, 89], [242, 229, 220], [179, 141, 125]], [[19, 6, 13], [200, 134, 101], [109, 52, 36], [77, 31, 23], [242, 218, 178], [157, 89, 56], [46, 15, 16]], [[75, 42, 30], [185, 161, 166], [171, 108, 77], [145, 117, 126], [238, 241, 245], [35, 17, 15], [112, 81, 68]], [[17, 14, 15], [162, 147, 145], [126, 101, 97], [231, 238, 235], [54, 43, 40], [206, 198, 187], [90, 72, 68]], [[107, 99, 89], [43, 33, 29], [138, 70, 56], [225, 225, 221], [159, 153, 144], [72, 64, 56], [94, 43, 36]], [[138, 83, 80], [33, 18, 18], [239, 232, 221], [114, 51, 46], [201, 167, 151], [74, 38, 35], [155, 122, 118]], [[154, 99, 59], [80, 49, 31], [241, 246, 248], [156, 127, 128], [35, 20, 15], [189, 177, 180], [106, 85, 80]], [[31, 20, 17], [138, 86, 80], [238, 232, 218], [112, 53, 45], [151, 125, 118], [197, 168, 149], [71, 40, 33]]]"
